order_start_hour,order_start,num_services,services,art_test,pathology,vaccination,duration,price,order_end,lat,long
12,2023-02-12 12:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 12:30:00,73.85372833565413,22.084717952807463
7,2023-02-12 07:00:00,2,pathology vaccination,0,1,1,1.5,300,2023-02-12 08:30:00,73.9989515127411,22.1821340446737
7,2023-02-12 07:00:00,3,pathology vaccination art_test,1,1,1,1.9,350,2023-02-12 08:54:00,73.59648294046319,22.42452646766448
12,2023-02-12 12:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 13:30:00,73.98076528331757,22.222896902265887
7,2023-02-12 07:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 07:30:00,74.0117429932404,22.373510159002826
8,2023-02-12 08:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 09:00:00,73.91401472933259,22.486240612633328
10,2023-02-12 10:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 11:30:00,74.18752856285356,21.979050568897723
9,2023-02-12 09:00:00,3,pathology art_test vaccination,1,1,1,1.9,350,2023-02-12 10:54:00,73.95514972496674,22.362335343247054
9,2023-02-12 09:00:00,3,pathology vaccination art_test,1,1,1,1.9,350,2023-02-12 10:54:00,74.16261046719508,21.97805031032485
14,2023-02-12 14:00:00,3,pathology vaccination art_test,1,1,1,1.9,350,2023-02-12 15:54:00,74.00737285793075,22.102768115892218
6,2023-02-12 06:00:00,3,pathology vaccination art_test,1,1,1,1.9,350,2023-02-12 07:54:00,73.63173745749786,21.939287547112112
10,2023-02-12 10:00:00,3,vaccination art_test pathology,1,1,1,1.9,350,2023-02-12 11:54:00,73.97950183248427,22.080359272427966
13,2023-02-12 13:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 13:24:00,73.96616413393346,21.969929875481377
11,2023-02-12 11:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 12:30:00,73.97070777340174,22.32831100908178
13,2023-02-12 13:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 14:30:00,73.69040060968914,22.19934889322366
14,2023-02-12 14:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 14:30:00,73.99561893037391,22.36415024902647
8,2023-02-12 08:00:00,3,pathology art_test vaccination,1,1,1,1.9,350,2023-02-12 09:54:00,73.96632158242573,22.01439936064434
9,2023-02-12 09:00:00,2,pathology vaccination,0,1,1,1.5,300,2023-02-12 10:30:00,73.7803512030389,21.98810989079447
9,2023-02-12 09:00:00,2,art_test vaccination,1,0,1,0.9,150,2023-02-12 09:54:00,73.79084217317114,22.1795061070533
7,2023-02-12 07:00:00,2,pathology vaccination,0,1,1,1.5,300,2023-02-12 08:30:00,73.83171627159064,22.023333209628404
14,2023-02-12 14:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 14:30:00,73.97765856432638,22.073795231859375
12,2023-02-12 12:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 13:30:00,73.82444619509347,22.391527107911458
10,2023-02-12 10:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 10:30:00,73.85908249859101,21.958202464308346
12,2023-02-12 12:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 12:30:00,73.86159195607766,22.32737787432027
11,2023-02-12 11:00:00,3,art_test pathology vaccination,1,1,1,1.9,350,2023-02-12 12:54:00,73.96227102861154,22.412281837648067
10,2023-02-12 10:00:00,3,art_test pathology vaccination,1,1,1,1.9,350,2023-02-12 11:54:00,73.58458105335473,22.246449323194895
11,2023-02-12 11:00:00,2,pathology vaccination,0,1,1,1.5,300,2023-02-12 12:30:00,73.83739418665263,22.28112312416955
14,2023-02-12 14:00:00,2,art_test pathology,1,1,0,1.4,250,2023-02-12 15:24:00,74.01595058859746,22.218324128829344
6,2023-02-12 06:00:00,2,pathology vaccination,0,1,1,1.5,300,2023-02-12 07:30:00,74.21392455258858,22.355827354023084
7,2023-02-12 07:00:00,2,pathology art_test,1,1,0,1.4,250,2023-02-12 08:24:00,73.66721655898235,22.00093199459514
6,2023-02-12 06:00:00,2,art_test vaccination,1,0,1,0.9,150,2023-02-12 06:54:00,73.99873102337122,22.116021974111614
12,2023-02-12 12:00:00,3,vaccination art_test pathology,1,1,1,1.9,350,2023-02-12 13:54:00,73.77821805136398,21.98487756049923
8,2023-02-12 08:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 09:00:00,74.01388112476019,22.139338913104638
11,2023-02-12 11:00:00,2,art_test vaccination,1,0,1,0.9,150,2023-02-12 11:54:00,73.93586208106777,21.954117727344368
12,2023-02-12 12:00:00,3,vaccination pathology art_test,1,1,1,1.9,350,2023-02-12 13:54:00,74.06875702557147,22.076293219929298
13,2023-02-12 13:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 13:24:00,73.74950150641092,22.211201946156134
11,2023-02-12 11:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 11:30:00,74.12813693561927,22.485575878452682
7,2023-02-12 07:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 08:00:00,74.09234719032247,22.379300614958122
10,2023-02-12 10:00:00,3,vaccination pathology art_test,1,1,1,1.9,350,2023-02-12 11:54:00,74.0539664559486,22.137384933759154
11,2023-02-12 11:00:00,3,art_test pathology vaccination,1,1,1,1.9,350,2023-02-12 12:54:00,73.71188490176976,21.953979213746816
11,2023-02-12 11:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 12:00:00,73.80871380087827,21.899053158667968
13,2023-02-12 13:00:00,3,vaccination art_test pathology,1,1,1,1.9,350,2023-02-12 14:54:00,73.63218051396575,22.151368425915443
11,2023-02-12 11:00:00,3,pathology vaccination art_test,1,1,1,1.9,350,2023-02-12 12:54:00,73.73280656756815,22.358443466034693
11,2023-02-12 11:00:00,1,vaccination,0,0,1,0.5,100,2023-02-12 11:30:00,73.95581873554082,22.443867914981194
7,2023-02-12 07:00:00,3,art_test vaccination pathology,1,1,1,1.9,350,2023-02-12 08:54:00,73.67138394555477,22.296849208194555
14,2023-02-12 14:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 15:00:00,73.62806902553507,22.242798578840645
12,2023-02-12 12:00:00,3,vaccination art_test pathology,1,1,1,1.9,350,2023-02-12 13:54:00,73.53535519511917,22.032109851025616
8,2023-02-12 08:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 09:00:00,73.50791565329997,21.923395620654595
9,2023-02-12 09:00:00,3,vaccination art_test pathology,1,1,1,1.9,350,2023-02-12 10:54:00,74.05067031760035,22.113738173943627
13,2023-02-12 13:00:00,3,art_test vaccination pathology,1,1,1,1.9,350,2023-02-12 14:54:00,73.61068108333158,22.065855473630723
13,2023-02-12 13:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 14:00:00,73.61313299047939,22.034159562108826
13,2023-02-12 13:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 14:30:00,73.94732464397349,22.292019749315358
8,2023-02-12 08:00:00,2,art_test pathology,1,1,0,1.4,250,2023-02-12 09:24:00,73.84095867436868,22.534957365309012
10,2023-02-12 10:00:00,2,vaccination art_test,1,0,1,0.9,150,2023-02-12 10:54:00,73.98373328683462,22.05287207223611
8,2023-02-12 08:00:00,2,pathology vaccination,0,1,1,1.5,300,2023-02-12 09:30:00,73.9107056546175,22.409157256830394
14,2023-02-12 14:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 15:30:00,74.03000362391167,22.246655723519687
12,2023-02-12 12:00:00,3,vaccination pathology art_test,1,1,1,1.9,350,2023-02-12 13:54:00,73.9267893618519,22.35121397695484
7,2023-02-12 07:00:00,3,art_test vaccination pathology,1,1,1,1.9,350,2023-02-12 08:54:00,73.79491129844084,22.014999506870335
7,2023-02-12 07:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 07:24:00,73.8185047952371,22.488971440163663
14,2023-02-12 14:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 15:00:00,74.06052418960333,22.225155770383644
14,2023-02-12 14:00:00,2,art_test vaccination,1,0,1,0.9,150,2023-02-12 14:54:00,73.7020215754574,22.436297996826667
12,2023-02-12 12:00:00,3,art_test vaccination pathology,1,1,1,1.9,350,2023-02-12 13:54:00,73.6391033959611,21.940735676943067
7,2023-02-12 07:00:00,3,pathology vaccination art_test,1,1,1,1.9,350,2023-02-12 08:54:00,74.22266916612978,22.44879159784258
11,2023-02-12 11:00:00,3,pathology art_test vaccination,1,1,1,1.9,350,2023-02-12 12:54:00,73.93015091175167,22.0906567501587
7,2023-02-12 07:00:00,2,vaccination pathology,0,1,1,1.5,300,2023-02-12 08:30:00,73.8395965971002,22.25992858761768
9,2023-02-12 09:00:00,2,art_test vaccination,1,0,1,0.9,150,2023-02-12 09:54:00,73.80511690057119,22.376828377368263
10,2023-02-12 10:00:00,3,art_test vaccination pathology,1,1,1,1.9,350,2023-02-12 11:54:00,73.87292286961443,22.514957868737874
9,2023-02-12 09:00:00,1,art_test,1,0,0,0.4,50,2023-02-12 09:24:00,73.96791073390693,22.040262862641903
6,2023-02-12 06:00:00,1,pathology,0,1,0,1.0,200,2023-02-12 07:00:00,74.10510348754656,22.0918220223339
